Adele;;;;;;;;;;;;;
Alexandre Ottoni;NerdCast 692 - Era uma vez um... Tarantino;Speak English 19 - Connected Speech;NerdCash 15 - Objetivos e consciência financeira;NerdTech 43 - Profissão: Programador 4.0;NerdCast 688 - A batalha dos Crossovers 8;Speak English 18 - Armadilhas das traduções;NerdCast 685 - MCU Fase 4;NerdTech 42 - Tecnologias da corrida espacial;;;;;
Allok;Hear Me Now;All the Lies;Favela;Fuego;;;;;;;;;
Atitude 67;;;;;;;;;;;;;
Avicii;Peace Of Mind;Heaven;SOS;Bad Reputation;;;;;;;;;
BTS;Blood Sweat & Tears;Begin;Lie;;;;;;;;;;
Billy Ray Cyrus;;;;;;;;;;;;;
Cardi B;;;;;;;;;;;;;
Caue Moura;Reinaldo Azevedo // POUCAS #43;Damiani // POUCAS $42;Luisa Mell  // POUCAS #41;Wendel Bezerra // POUCAS #40;Érico Borgo // POUCAS #39;Gordox // POUCAS #38;Mauricio Meirelles // POUCAS #37;;;;;;
Clarisse;;;;;;;;;;;;;
Deive Pazos;;;;;;;;;;;;;
IZA;;;;;;;;;;;;;
Imagine Dragons;;;;;;;;;;;;;
John Mayer;Queen of California;The Age of Worry;Shadow Days;Speak For Me;Something Like Olivia;Born and Raised;Still Feel Like Your Man;Emoji of a Wave;Helpless;Love on the Weekend;Rosie;Changing;Moving On and Getting Over;
Lana Del Rey;Born To Die;Blue Jeans;Dark Paradise;Carmen;Summertime Sadness;Cruel World;Ultraviolence;Shades Of Cool;Sad Girl;;;;
Lil Nas X;Old Town Road - Remix;Panini;Rodeo;Bring U Down;C7osure;Kick It;;;;;;;
Luan Santana;Dia, Lugar e Hora;Primeira Semana;Eu, você, o Mar e Ela;Estava Zero;;;;;;;;;
Luísa Sonza;;;;;;;;;;;;;
MC Kevinho;Uma nora pra cada dia;Credo que delicia;Facilita;Agora é tudo meu;Terremoto;Reboladinha;O bebê;;;;;;
MC Livinho;Cheio de Marra;Tudo de Bom;Foi bom;Bandida;Tocar sua Pele;Minha Nega;;;;;;;
Manu Gavassi;;;;;;;;;;;;;
Marilía Mendonça;Eu sei de Cor;A Gente não se Aguenta;Traição Não tem Perdão;Nem Foi e Já voltou;Amante não tem Lar;;;;;;;;
Mauricio Cid Fernandez Morais;;;;;;;;;;;;;
O rappa;;;;;;;;;;;;;
Phelipe Cruz;#259 - Loucos por boyband (feat. Manu Gavassi);#258 - Wanda Morning Show: Bolsinha da Rihanna;#257 - Não Queira;#253 - Luí­sa Sonza: diva sensata do pop;#237 - A sexta-feira é Santa Mas eu Não;#229 - Wanda Morning Show 2;#216 - Papo Sobre Fama e Artistas Incríveis;;;;;;
Post Malone;;;;;;;;;;;;;
Renata Lo Prete;O Assunto #22: Como a morte da menina Ágatha reabriu...;O Assunto #21: A emergência do clima - ainda dá tempo para salvar o planeta?;O Assunto #20: As contradições do caso Flordelis e como a deputada passou...;O Assunto #19: Dinheiro para campanhas eleitorais;O Assunto #18: Existe risco de guerra após os ataques na Arábia Saudita?;;;;;;;;
Samira Close;;;;;;;;;;;;;
Scalene;;;;;;;;;;;;;
Snoop Dog;Always Got Something to Say;Going Home;Pure Gold;Pain;;;;;;;;;
Tiago Nigro;;;;;;;;;;;;;
Tymoteusz Elfreda;;;;;;;;;;;;;
Wesley Safadão;Casado, Namorando, Solteiro;Ar-condicionado no 15;Ressaca de Saudade;Decreto Liberado;Quem Bate Também Chora;Ninguém é de Ferro;Sonhei que tava me casando;Se esconder Ela Não Chora;;;;;
