CódigoAssinante;Tipo Mídia;Código Mídia;Gênero;Duração
1;Música;2;K-Pop;3,21
1;Música;5;K-Pop;3,22
1;Música;9;K-Pop;3,23
1;Música;12;K-Pop;3,06
1;Música;16;K-Pop;3,26
1;Música;17;j-Rock;3,24
1;Música;18;j-Rock;4,16
1;Música;20;Lo-fi;2,55
1;Música;22;Lo-fi;2,48
1;Música;23;Lo-fi;2,36
1;Música;28;Pop;2,58
2;Música;3;K-Pop;3,25
2;Música;5;K-Pop;3,22
2;Música;6;K-Pop;2,59
2;Música;10;K-Pop;3,29
2;Música;14;K-Pop;3,11
2;Música;16;K-Pop;3,26
2;Música;18;j-Rock;4,16
2;Música;20;Lo-fi;2,55
2;Música;21;Lo-fi;2,47
2;Música;22;Lo-fi;2,48
2;Música;27;Video game music;3,33
2;Música;29;Pop;3,02
2;Música;32;Pop;3,35
2;Música;34;K-Pop;3,03
3;Música;1;K-Pop;2,56
3;Música;2;K-Pop;3,21
3;Música;7;K-Pop;3,21
3;Música;8;K-Pop;3,05
3;Música;16;K-Pop;3,26
3;Música;17;j-Rock;3,24
3;Música;18;j-Rock;4,16
3;Música;19;j-Rock;3,38
3;Música;20;Lo-fi;2,55
3;Música;21;Lo-fi;2,47
3;Música;24;Lo-fi;2,42
3;Música;28;Pop;2,58
3;Música;31;Pop;3,40
4;Música;1;K-Pop;2,56
4;Música;3;K-Pop;3,25
4;Música;5;K-Pop;3,22
4;Música;6;K-Pop;2,59
4;Música;7;K-Pop;3,21
4;Música;12;K-Pop;3,06
4;Música;16;K-Pop;3,26
4;Música;18;j-Rock;4,16
4;Música;24;Lo-fi;2,42
4;Música;26;Video game music;3,04
4;Música;29;Pop;3,02
4;Música;32;Pop;3,35
5;Música;1;K-Pop;2,56
5;Música;2;K-Pop;3,21
5;Música;4;K-Pop;3,25
5;Música;7;K-Pop;3,21
5;Música;23;Lo-fi;2,36
5;Música;25;Lo-fi;2,35
5;Música;31;Pop;3,40
6;Música;9;K-Pop;3,23
6;Música;11;K-Pop;2,57
6;Música;13;K-Pop;3,13
6;Música;15;K-Pop;3,37
6;Música;17;j-Rock;3,24
6;Música;18;j-Rock;4,16
6;Música;21;Lo-fi;2,47
6;Música;26;Video game music;3,04
7;Música;1;K-Pop;2,56
7;Música;5;K-Pop;3,22
7;Música;12;K-Pop;3,06
7;Música;13;K-Pop;3,13
7;Música;19;j-Rock;3,38
7;Música;22;Lo-fi;2,48
7;Música;24;Lo-fi;2,42
9;Música;2;K-Pop;3,21
9;Música;10;K-Pop;3,29
25;Música;1;K-Pop;2,56
25;Música;2;K-Pop;3,21
25;Música;3;K-Pop;3,25
25;Música;4;K-Pop;3,25
26;Música;6;K-Pop;2,59
26;Música;12;K-Pop;3,06
26;Música;14;K-Pop;3,11
26;Música;17;j-Rock;3,24
26;Música;18;j-Rock;4,16
26;Música;22;Lo-fi;2,48
26;Música;30;Pop;2,51
26;Música;33;K-Pop;3,08
26;Música;34;K-Pop;3,03
29;Música;23;Lo-fi;2,36
29;Música;24;Lo-fi;2,42
29;Música;25;Lo-fi;2,35
29;Música;26;Video game music;3,04
29;Música;27;Video game music;3,33
30;Música;3;K-Pop;3,25
30;Música;7;K-Pop;3,21
30;Música;8;K-Pop;3,05
30;Música;9;K-Pop;3,23
30;Música;10;K-Pop;3,29
30;Música;11;K-Pop;2,57
30;Música;15;K-Pop;3,37
30;Música;16;K-Pop;3,26
30;Música;17;j-Rock;3,24
30;Música;20;Lo-fi;2,55
30;Música;21;Lo-fi;2,47
